"STATION","NAME","DATE","CDSD","CLDD","DP01","DP10","DT00","DT32","DX32","DX70","DX90","EMNT","EMXP","EMXT","HDSD","HTDD","PRCP","TAVG","TMAX","TMIN"
"CHM00054511","BEIJING, CH","1951-01","0","0","4","1","6","31","18","0","0","-9","0.18","51",,"1391","0.32","20.1","31.5","8.8"
"CHM00054511","BEIJING, CH","1951-02","0","0","4","2","0","28","5","0","0","10","0.21","53",,"1007","0.40","29.0","38.4","19.7"
"CHM00054511","BEIJING, CH","1951-03","0","0","1","0","0","21","2","2","0","9","0.06","71",,"773","0.06","40.1","51.8","28.3"
"CHM00054511","BEIJING, CH","1951-04","0","0","1","0","0","0","0","9","0","33","0.03","80",,"329","0.04","54.0","66.6","41.5"
"CHM00054511","BEIJING, CH","1951-05","146","146","5","4","0","0","0","31","4","48","4.01","94",,"9","5.74","69.4","82.2","56.7"
"CHM00054511","BEIJING, CH","1951-06","512","366","5","2","0","0","0","30","17","55","1.51","100",,"0","1.70","77.2","89.8","64.6"
"CHM00054511","BEIJING, CH","1951-07","948","436","6","4","0","0","0","31","16","61","1.68","98","0","0","3.24","79.1","89.7","68.4"
"CHM00054511","BEIJING, CH","1951-08","1375","427","9","7","0","0","0","31","16","54","3.48","101","0","0","4.85","78.8","89.6","67.9"
"CHM00054511","BEIJING, CH","1951-09","1441","66","4","3","0","0","0","26","0","43","0.44","89","61","61","1.02","65.2","77.4","52.9"
"CHM00054511","BEIJING, CH","1951-10","1468","27","4","3","0","0","0","10","0","33","0.58","85","331","270","1.40","57.2","67.5","46.8"
"CHM00054511","BEIJING, CH","1951-11","1468","0","3","0","0","16","0","0","0","16","0.09","65","1046","715","0.18","41.2","51.2","31.1"
"CHM00054511","BEIJING, CH","1951-12","1468","0","1","0","0","30","1","0","0","10","0.03","56","1993","947","0.03","34.5","45.2","23.8"
"CHM00054511","BEIJING, CH","1952-01","0","0","0","0","0","31","3","0","0","9","0.00","51","3152","1160","0.00","27.6","38.7","16.5"
"CHM00054511","BEIJING, CH","1952-02","0","0","5","2","0","29","12","0","0","4","0.28","47","4336","1184","0.56","24.2","34.6","13.8"
"CHM00054511","BEIJING, CH","1952-03","0","0","4","3","0","20","0","0","0","16","0.28","66","5105","769","0.63","40.2","51.1","29.3"
"CHM00054511","BEIJING, CH","1952-04","12","12","2","1","0","0","0","14","0","35","0.17","87","5346","241","0.25","57.3","68.8","45.9"
"CHM00054511","BEIJING, CH","1952-05","173","161","10","5","0","0","0","29","5","48","0.42","98","5357","11","1.38","69.9","82.6","57.1"
"CHM00054511","BEIJING, CH","1952-06","559","386","3","2","0","0","0","29","18","55","0.63","101","5357","0","0.88","77.9","90.6","65.1"
"CHM00054511","BEIJING, CH","1952-07","1025","466","16","12","0","0","0","31","12","66","5.68","103","0","0","12.29","80.0","87.7","72.3"
"CHM00054511","BEIJING, CH","1952-08","1379","354","9","5","0","0","0","31","5","60","1.11","91","0","0","2.77","76.4","86.0","66.8"
