"STATION","NAME","DATE","CDSD","CLDD","DP01","DP10","DT00","DT32","DX32","DX70","DX90","EMNT","EMXP","EMXT","HDSD","HTDD","PRCP","TAVG","TMAX","TMIN"
"CHM00056294","CHENGDU, CH","1951-01","0","0","3","0","0","4","0","0","0","27","0.04","63",,"672","0.08","43.3","49.8","36.8"
"CHM00056294","CHENGDU, CH","1951-02","0","0","2","1","0","0","0","0","0","33","0.18","67",,"498","0.22","47.2","53.5","40.9"
"CHM00056294","CHENGDU, CH","1951-03","0","0","9","3","0","0","0","2","0","35","0.33","74",,"393","0.89","52.3","60.1","44.6"
"CHM00056294","CHENGDU, CH","1951-04","2","2","16","7","0","0","0","7","0","46","0.34","76",,"161","1.96","59.7","66.5","53.0"
"CHM00056294","CHENGDU, CH","1951-05","277","275","5","2","0","0","0","31","8","57","1.67","97",,"1","2.26","73.8","83.9","63.8"
"CHM00056294","CHENGDU, CH","1951-06","611","334","15","7","0","0","0","28","4","60","0.77","94",,"0","3.56","76.1","83.1","69.1"
"CHM00056294","CHENGDU, CH","1951-07","1020","409","18","14","0","0","0","31","6","65","3.04","92","0","0","9.98","78.2","84.9","71.5"
"CHM00056294","CHENGDU, CH","1951-08","1493","473","15","8","0","0","0","31","13","66","2.94","95","0","0","8.96","80.3","87.9","72.6"
"CHM00056294","CHENGDU, CH","1951-09","1691","198","17","10","0","0","0","28","0","57","1.49","88","3","3","6.22","71.5","78.1","64.9"
"CHM00056294","CHENGDU, CH","1951-10","1788","97","10","2","0","0","0","17","0","46","0.57","83","62","59","1.59","66.2","72.4","60.0"
"CHM00056294","CHENGDU, CH","1951-11","1788","0","6","2","0","0","0","1","0","33","0.37","72","403","341","0.66","53.6","59.0","48.2"
"CHM00056294","CHENGDU, CH","1951-12","1788","0","1","0","0","0","0","0","0","36","0.03","61","925","522","0.03","48.2","54.9","41.5"
"CHM00056294","CHENGDU, CH","1952-01","0","0","1","0","0","4","0","0","0","29","0.05","64","1524","599","0.06","45.7","53.7","37.7"
"CHM00056294","CHENGDU, CH","1952-02","0","0","1","0","0","3","0","0","0","29","0.02","66","2062","538","0.02","46.5","52.5","40.4"
"CHM00056294","CHENGDU, CH","1952-03","0","0","9","2","0","0","0","4","0","40","0.31","77","2401","339","0.63","54.0","61.1","47.0"
"CHM00056294","CHENGDU, CH","1952-04","137","137","7","5","0","0","0","25","0","47","1.32","89","2448","47","2.13","68.0","78.2","57.8"
"CHM00056294","CHENGDU, CH","1952-05","334","197","19","16","0","0","0","30","0","60","1.75","88","2448","0","7.64","71.3","77.5","65.2"
