"STATION","NAME","DATE","CDSD","CLDD","DP01","DP10","DT00","DT32","DX32","DX70","DX90","EMNT","EMXP","EMXT","HDSD","HTDD","PRCP","TAVG","TMAX","TMIN"
"CHM00054662","DALIAN, CH","1951-01","0","0","2","1","1","31","18","0","0","0","0.13","45",,"1368","0.22","20.9","27.8","14.0"
"CHM00054662","DALIAN, CH","1951-02","0","0","4","2","0","28","15","0","0","12","0.28","41",,"1127","0.50","24.8","31.1","18.4"
"CHM00054662","DALIAN, CH","1951-03","0","0","3","1","0","20","5","0","0","5","0.10","66",,"940","0.19","34.7","41.7","27.7"
"CHM00054662","DALIAN, CH","1951-04","0","0","5","2","0","0","0","1","0","34","1.35","71",,"491","2.02","48.6","55.9","41.4"
"CHM00054662","DALIAN, CH","1951-05","19","19","4","3","0","0","0","11","0","48","1.56","83",,"125","3.70","61.6","69.3","53.8"
"CHM00054662","DALIAN, CH","1951-06","180","161","4","2","0","0","0","28","0","56","0.95","89",,"5","1.34","70.2","77.7","62.7"
"CHM00054662","DALIAN, CH","1951-07","511","330","11","7","0","0","0","31","2","63","3.34","92","0","0","11.15","75.6","81.8","69.5"
"CHM00054662","DALIAN, CH","1951-08","863","353","11","9","0","0","0","31","0","65","4.51","86","0","0","10.77","76.4","81.2","71.5"
"CHM00054662","DALIAN, CH","1951-09","944","80","9","4","0","0","0","23","0","52","2.41","81","30","30","5.10","66.7","74.0","59.3"
"CHM00054662","DALIAN, CH","1951-10","962","18","7","3","0","0","0","14","0","39","0.39","78","259","229","0.89","58.2","66.1","50.4"
"CHM00054662","DALIAN, CH","1951-11","962","0","6","2","0","10","1","0","0","15","1.02","62","953","694","1.45","41.8","49.1","34.6"
"CHM00054662","DALIAN, CH","1951-12","962","0","4","2","0","18","5","0","0","13","0.63","55","1869","915","0.89","35.5","42.5","28.5"
"CHM00054662","DALIAN, CH","1952-01","0","0","2","0","0","30","8","0","0","10","0.07","44","3042","1173","0.09","27.2","34.7","19.6"
"CHM00054662","DALIAN, CH","1952-02","0","0","4","1","0","29","18","0","0","4","0.10","41","4272","1230","0.20","22.6","28.3","16.8"
"CHM00054662","DALIAN, CH","1952-03","0","0","1","1","0","19","3","0","0","19","0.13","57","5139","867","0.13","37.0","43.8","30.3"
"CHM00054662","DALIAN, CH","1952-04","3","3","7","3","0","0","0","2","0","36","0.49","82","5558","419","1.16","51.1","58.1","44.1"
"CHM00054662","DALIAN, CH","1952-05","63","60","4","3","0","0","0","17","0","49","0.36","87","5637","79","0.76","64.4","72.6","56.2"
"CHM00054662","DALIAN, CH","1952-06","263","199","8","6","0","0","0","27","1","54","3.18","90","5649","12","5.62","71.3","79.2","63.3"
"CHM00054662","DALIAN, CH","1952-07","623","360","7","1","0","0","0","31","0","66","0.26","90","0","0","0.56","76.6","82.4","70.8"
"CHM00054662","DALIAN, CH","1952-08","971","348","7","4","0","0","0","30","2","65","1.18","92","0","0","2.27","76.2","82.7","69.8"
"CHM00054662","DALIAN, CH","1952-09","1144","173","3","2","0","0","0","26","0","52","0.46","86","25","25","0.64","69.9","76.5","63.3"
"CHM00054662","DALIAN, CH","1952-10","1173","29","4","3","0","0","0","7","0","37","1.64","82","252","227","3.45","58.6","65.6","51.6"
"CHM00054662","DALIAN, CH","1952-11","1173","0","5","2","0","11","3","0","0","15","1.64","67","968","716","1.89","41.1","47.2","35.0"
"CHM00054662","DALIAN, CH","1952-12","1173","0","4","0","0","29","17","0","0","7","0.09","47","2242","1274","0.29","23.9","30.0","17.9"
"CHM00054662","DALIAN, CH","1953-01","0","0","2","0","0","31","23","0","0","0","0.04","47","3681","1439","0.07","18.6","24.7","12.4"
"CHM00054662","DALIAN, CH","1953-02","0","0","1","0","0","26","19","0","0","8","0.02","52","4831","1149","0.03","24.0","30.1","17.9"
