"STATION","NAME","DATE","CDSD","CLDD","DP01","DP10","DT00","DT32","DX32","DX70","DX90","EMNT","EMXP","EMXT","HDSD","HTDD","PRCP","TAVG","TMAX","TMIN"
"CHM00059287","GUANGZHOU, CH","1951-01",,,"12","10",,,"0","10","0",,"0.54","80",,,"3.59",,"60.6",
"CHM00059287","GUANGZHOU, CH","1951-02",,,"4","3",,,"0","14","0",,"0.15","83",,,"0.41",,"65.8",
"CHM00059287","GUANGZHOU, CH","1951-03",,,"21","12",,,"0","7","0",,"1.51","81",,,"6.68",,"61.2",
"CHM00059287","GUANGZHOU, CH","1951-04",,,"24","20",,,"0","19","1",,"2.17","90",,,"14.31",,"74.2",
"CHM00059287","GUANGZHOU, CH","1951-05",,"441","11","9","0","0","0","31","8","63","1.19","95",,"0","4.63","79.2","87.0","71.5"
"CHM00059287","GUANGZHOU, CH","1951-06",,"470","22","16","0","0","0","30","9","71","4.19","93",,"0","14.23","80.7","86.6","74.7"
"CHM00059287","GUANGZHOU, CH","1951-07",,"583","17","13","0","0","0","31","21","72","1.12","98","0","0","5.13","83.8","90.4","77.2"
"CHM00059287","GUANGZHOU, CH","1951-08",,"582","17","16","0","0","0","31","20","73","1.61","97","0","0","8.89","83.8","90.0","77.6"
"CHM00059287","GUANGZHOU, CH","1951-09",,"521","13","9","0","0","0","30","20","70","2.14","95","0","0","6.67","82.4","89.6","75.1"
"CHM00059287","GUANGZHOU, CH","1951-10",,"357","8","8","0","0","0","30","2","56","1.46","91","4","4","3.39","76.4","83.8","68.9"
"CHM00059287","GUANGZHOU, CH","1951-11",,"134","9","6","0","0","0","25","0","44","2.38","85","45","40","5.48","68.1","75.7","60.5"
"CHM00059287","GUANGZHOU, CH","1951-12",,"41","6","2","0","0","0","20","0","43","0.32","83","137","92","0.61","63.3","71.3","55.4"
"CHM00059287","GUANGZHOU, CH","1952-01","16","16","4","2","0","0","0","12","0","41","0.13","79","303","166","0.35","60.2","68.5","51.9"
"CHM00059287","GUANGZHOU, CH","1952-02","47","30","8","4","0","0","0","12","0","35","0.47","83","480","177","1.31","59.9","66.0","53.9"
"CHM00059287","GUANGZHOU, CH","1952-03","129","82","11","6","0","0","0","18","0","48","1.50","84","551","71","4.58","65.4","71.0","59.7"
"CHM00059287","GUANGZHOU, CH","1952-04","356","227","16","10","0","0","0","27","0","52","5.12","89","559","8","12.47","72.3","79.1","65.5"
"CHM00059287","GUANGZHOU, CH","1952-05","931","575","13","6","0","0","0","31","19","74","4.33","96","559","0","10.55","83.6","90.1","77.0"
"CHM00059287","GUANGZHOU, CH","1952-06","1507","576","17","13","0","0","0","30","17","75","2.19","95","559","0","10.34","84.2","90.2","78.2"
