"STATION","NAME","DATE","CDSD","CLDD","DP01","DP10","DT00","DT32","DX32","DX70","DX90","EMNT","EMXP","EMXT","HDSD","HTDD","PRCP","TAVG","TMAX","TMIN"
"CHM00058457","HANGZHOU, CH","1951-01","0","0","9","3","0","20","2","0","0","20","0.46","61",,"812","1.03","38.8","46.3","31.3"
"CHM00058457","HANGZHOU, CH","1951-02","0","0","14","8","0","10","0","1","0","24","0.81","72",,"650","4.40","41.8","47.7","35.8"
"CHM00058457","HANGZHOU, CH","1951-03","0","0","12","9","0","5","0","2","0","26","1.09","72",,"564","4.39","46.8","54.5","39.1"
"CHM00058457","HANGZHOU, CH","1951-04","0","0","17","14","0","0","0","4","0","39","1.93","73",,"269","8.25","56.0","61.7","50.3"
"CHM00058457","HANGZHOU, CH","1951-05","211","211","12","6","0","0","0","28","4","45","0.84","93",,"26","2.27","71.0","80.8","61.2"
"CHM00058457","HANGZHOU, CH","1951-06","514","303","12","10","0","0","0","29","4","59","2.78","103",,"0","9.23","75.1","83.2","67.0"
"CHM00058457","HANGZHOU, CH","1951-07","1022","508","10","9","0","0","0","31","16","67","3.57","99","0","0","12.31","81.4","88.9","73.9"
"CHM00058457","HANGZHOU, CH","1951-08","1644","622","10","8","0","0","0","31","27","70","1.51","103","0","0","4.16","85.1","93.8","76.3"
"CHM00058457","HANGZHOU, CH","1951-09","1892","248","11","9","0","0","0","29","2","57","1.72","95","0","0","7.16","73.3","80.7","65.8"
"CHM00058457","HANGZHOU, CH","1951-10","2018","126","9","7","0","0","0","27","1","47","1.07","90","57","57","4.12","67.2","76.1","58.3"
"CHM00058457","HANGZHOU, CH","1951-11","2018","0","10","6","0","4","0","6","0","27","0.82","78","409","352","2.48","53.3","61.9","44.6"
"CHM00058457","HANGZHOU, CH","1951-12","2018","0","11","5","0","6","0","1","0","24","1.03","70","949","540","3.06","47.6","56.9","38.3"
"CHM00058457","HANGZHOU, CH","1952-01","0","0","7","6","0","11","0","0","0","25","0.72","67","1667","718","1.90","41.8","50.2","33.5"
"CHM00058457","HANGZHOU, CH","1952-02","0","0","17","12","0","11","2","0","0","22","1.40","58","2432","765","6.00","38.6","43.4","33.9"
"CHM00058457","HANGZHOU, CH","1952-03","0","0","16","10","0","0","0","0","0","33","1.31","70","2993","561","5.54","46.9","52.7","41.1"
