TIME,T,P0,P,U,DD,Ff,ff10,WW,W'W',c,VV,Td
01.01.202100:00,-11,695.2,769.6,34,5,1,0.1,0.1,0.1,1.1,10.1,-24
01.01.202100:30,-12,695,769.6,36,5,1,0.1,0.1,0.1,1.1,10.1,-24
01.01.202101:00,-14,693.8,768.9,47,2.5,1,0.1,0.1,0.1,1.1,10.1,-23
01.01.202101:30,-14,693.8,768.9,51,5,1,0.1,0.1,0.1,1.1,10.1,-22
01.01.202102:00,-15,693.5,768.9,55,2,1,0.1,0.1,0.1,1.1,10.1,-22
01.01.202102:30,-14,693.8,768.9,51,2,2,0.1,0.1,0.1,1.1,10.1,-22
01.01.202103:00,-14,693.8,768.9,51,1.9,2,0.1,0.1,0.1,1.1,10.1,-22
01.01.202103:30,-14,693.1,768.1,51,2,2,0.1,0.1,0.1,1.1,10.1,-22
01.01.202104:00,-15,692.8,768.1,55,5,1,0.1,0.1,0.1,1.1,10.1,-22
01.01.202104:30,-15,692.8,768.1,51,5,1,0.1,0.1,0.1,1.1,10.1,-23
01.01.202105:00,-15,692.8,768.1,55,0,0,0.1,0.1,0.1,1.1,10.1,-22
01.01.202105:30,-15,692.8,768.1,55,5,1,0.1,0.1,0.1,1.1,10.1,-22
01.01.202106:00,-16,692.5,768.1,66,2.1,1,0.1,0.1,0.1,1.1,10.1,-21
01.01.202106:30,-16,692.5,768.1,60,5,1,0.1,0.1,0.1,1.1,10.1,-22
01.01.202107:00,-15,692.8,768.1,60,5,1,0.1,0.1,0.1,1.1,10.1,-21
01.01.202107:30,-15,693.5,768.9,55,5,1,0.1,0.1,0.1,1.1,10.1,-22
01.01.202108:00,-14,693.8,768.9,56,5,1,0.1,0.1,0.1,1.1,10.1,-21
01.01.202108:30,-13,694,768.9,56,2.5,1,0.1,0.1,0.1,1.1,10.1,-20
01.01.202109:00,-10,694.9,768.9,48,5,1,0.1,0.1,0.1,1.1,10.1,-19
01.01.202109:30,-9,695.1,768.9,41,5,1,0.1,0.1,0.1,1.1,10.1,-20
01.01.202110:00,-8,695.4,768.9,35,5,1,0.1,0.1,0.1,1.1,10.1,-21
01.01.202110:30,-6,695.9,768.9,32,5,1,0.1,0.1,0.1,1.1,10.1,-20
01.01.202111:00,-5,695.4,768.1,36,5,1,0.1,0.1,0.1,1.1,10.1,-18
01.01.202111:30,-3,696,768.1,31,5,1,0.1,0.1,0.1,1.1,10.1,-18
01.01.202112:00,-1,695.7,767.3,29,3.1,2,0.1,0.1,0.1,1.1,10.1,-17
01.01.202112:30,0,695.4,766.6,29,4,2,0.1,0.1,0.1,1.1,10.1,-16
01.01.202113:00,1,695.6,766.6,25,3.9,3,0.1,0.1,0.1,1.1,10.1,-17
01.01.202113:30,2,695.1,765.8,23,3.9,3,0.1,0.1,0.1,1.1,10.1,-17
01.01.202114:00,3,695.4,765.8,22,3.5,3,0.1,0.1,0.1,1.1,10.1,-17
01.01.202114:30,4,694.9,765,18,3.9,3,0.1,0.1,0.1,1.1,10.1,-18
01.01.202115:00,5,695.8,765.8,16,3.9,3,0.1,0.1,0.1,1.1,10.1,-19
01.01.202115:30,5,695.8,765.8,16,3.9,3,0.1,0.1,0.1,1.1,10.1,-19
01.01.202116:00,5,695.8,765.8,14,4,3,0.1,0.1,0.1,1.1,10.1,-20
01.01.202116:30,4,695.6,765.8,11,4.5,6,0.1,0.1,0.1,1.1,10.1,-24
01.01.202117:00,3,695.4,765.8,12,4.1,6,0.1,0.1,0.1,1.1,10.1,-24
01.01.202117:30,2,695.8,766.6,13,4.1,4,0.1,0.1,0.1,1.1,10.1,-24
01.01.202118:00,1,695.6,766.6,14,4.5,4,0.1,0.1,0.1,1.1,10.1,-24
01.01.202118:30,0,695.4,766.6,17,4.5,4,0.1,0.1,0.1,1.1,10.1,-22
01.01.202119:00,0,696,767.3,17,4,3,0.1,0.1,0.1,1.1,10.1,-22
01.01.202119:30,0,696,767.3,23,4.1,3,0.1,0.1,0.1,1.1,10.1,-19
01.01.202120:00,0,696.7,768.1,23,4,3,0.1,0.1,0.1,1.1,10.1,-19
01.01.202120:30,-1,696.5,768.1,26,4.1,3,0.1,0.1,0.1,1.1,10.1,-18
01.01.202121:00,-3,696,768.1,28,3,3,0.1,0.1,0.1,1.1,10.1,-19
01.01.202121:30,-3,696,768.1,31,3,2,0.1,0.1,0.1,1.1,10.1,-18
01.01.202122:00,-5,695.4,768.1,36,3,2,0.1,0.1,0.1,1.1,10.1,-18
01.01.202122:30,-5,695.4,768.1,39,2.9,1,0.1,0.1,0.1,1.1,10.1,-17
01.01.202123:00,-6,695.2,768.1,42,5,1,0.1,0.1,0.1,1.1,10.1,-17
01.01.202123:30,-7,694.9,768.1,45,5,1,0.1,0.1,0.1,1.1,10.1,-17
01.02.202100:00,-2,692,763.5,34,5,1,0.1,0.1,0.1,1.1,10.1,-16
01.02.202100:30,-2,692,763.5,37,5,1,0.1,0.1,0.1,1.1,10.1,-15
01.02.202101:00,1,692.8,763.5,23,5.1,2,0.1,0.1,0.1,1.1,10.1,-18
01.02.202101:30,3,693.3,763.5,18,4,2,0.1,0.1,0.1,1.1,10.1,-19
01.02.202102:00,1,692.8,763.5,21,4.5,3,0.1,0.1,0.1,1.1,10.1,-19
01.02.202102:30,1,692.8,763.5,23,5.1,3,0.1,0.1,0.1,1.1,10.1,-18
01.02.202103:00,-1,692.3,763.5,31,5.1,3,0.1,0.1,0.1,1.1,10.1,-16
01.02.202103:30,1,692.8,763.5,23,4.5,3,0.1,0.1,0.1,1.1,10.1,-18
01.02.202104:00,0,692.5,763.5,25,4.1,4,0.1,0.1,0.1,1.1,10.1,-18
01.02.202104:30,1,692.8,763.5,23,4.5,4,0.1,0.1,0.1,1.1,10.1,-18
01.02.202105:00,-2,692,763.5,31,5.1,4,0.1,0.1,0.1,1.1,10.1,-17
01.02.202105:30,-1,692.3,763.5,29,1,3,0.1,0.1,0.1,1.1,10.1,-17
01.02.202106:00,-2,692,763.5,34,3.1,3,0.1,0.1,0.1,1.1,10.1,-16
01.02.202106:30,-4,691.5,763.5,39,5,1,0.1,0.1,0.1,1.1,10.1,-16
01.02.202107:00,-6,691,763.5,49,5,1,0.1,0.1,0.1,1.1,10.1,-15
01.02.202107:30,-6,691.7,764.3,45,2.5,1,0.1,0.1,0.1,1.1,10.1,-16
01.02.202108:00,-6,691.7,764.3,45,2.5,1,0.1,0.1,0.1,1.1,10.1,-16
01.02.202108:30,-4,692.3,764.3,46,2.5,1,0.1,0.1,0.1,1.1,10.1,-14
01.02.202109:00,0,693.9,765,32,5,1,0.1,0.1,0.1,1.1,10.1,-15
01.02.202109:30,1,694.1,765,29,5,1,0.1,0.1,0.1,1.1,10.1,-15
01.02.202110:00,4,694.9,765,18,4.5,2,0.1,0.1,0.1,1.1,10.1,-18
01.02.202110:30,5,695.1,765,17,4.5,4,0.1,0.1,0.1,1.1,10.1,-18
01.02.202111:00,5,695.1,765,17,3.9,3,0.1,0.1,0.1,1.1,10.1,-18
01.02.202111:30,6,695.4,765,15,4,4,0.1,0.1,0.1,1.1,10.1,-19
01.02.202112:00,6,695.4,765,15,3.5,3,0.1,0.1,0.1,1.1,10.1,-19
01.02.202112:30,7,695,764.3,15,3.9,4,0.1,0.1,0.1,1.1,10.1,-18
01.02.202113:00,7,695,764.3,14,5,1,0.1,0.1,0.1,1.1,10.1,-19
01.02.202113:30,8,695.2,764.3,13,5,4,9,0.1,0.1,1.1,10.1,-19
01.02.202114:00,7,694.2,763.5,13,5.1,10,0.1,0.1,0.1,1.1,10.1,-20
01.02.202114:30,7,695,764.3,12,5.1,9,14,0.1,0.1,1.1,10.1,-21
01.02.202115:00,7,695,764.3,9,5.1,12,0.1,0.1,0.1,1.1,10.1,-24
01.02.202115:30,6,695.4,765,9,4.5,11,0.1,0.1,0.1,1.1,10.1,-25
01.02.202116:00,6,695.4,765,9,4.5,10,0.1,0.1,0.1,1.1,10.1,-24
01.02.202116:30,5,695.8,765.8,9,4.5,10,0.1,0.1,0.1,1.1,10.1,-25
01.02.202117:00,4,696.3,766.6,12,4.5,7,0.1,0.1,0.1,1.1,10.1,-23
01.02.202117:30,3,696.1,766.6,13,4.5,7,0.1,0.1,0.1,1.1,10.1,-23
01.02.202118:00,2,696.5,767.3,14,5.1,7,0.1,0.1,0.1,1.1,10.1,-23
01.02.202118:30,2,697.2,768.1,14,5.1,7,0.1,0.1,0.1,1.1,10.1,-23
01.02.202119:00,1,697,768.1,15,4.5,6,0.1,0.1,0.1,1.1,10.1,-23
01.02.202119:30,0,697.4,768.9,21,4.5,5,0.1,0.1,0.1,1.1,10.1,-20
01.02.202120:00,0,697.4,768.9,23,1,4,0.1,0.1,0.1,1.1,10.1,-19
01.02.202120:30,-1,697.8,769.6,22,1,4,0.1,0.1,0.1,1.1,10.1,-20
01.02.202121:00,-2,698.3,770.4,20,1,4,0.1,0.1,0.1,1.1,10.1,-22
