"STATION","NAME","DATE","CDSD","CLDD","DP01","DP10","DT00","DT32","DX32","DX70","DX90","EMNT","EMXP","EMXT","HDSD","HTDD","PRCP","TAVG","TMAX","TMIN"
"CHM00053772","TAIYUAN, CH","1951-01","0","0","1","0","10","31","16","0","0","-11","0.01","45",,"1452","0.02","18.2","32.4","4.0"
"CHM00053772","TAIYUAN, CH","1951-02","0","0","10","3","6","28","16","0","0","-6","0.30","47",,"1210","0.82","21.8","32.6","11.0"
"CHM00053772","TAIYUAN, CH","1951-03","0","0","1","0","1","29","2","0","0","0","0.04","63",,"936","0.04","34.8","49.5","20.1"
"CHM00053772","TAIYUAN, CH","1951-04","0","0","2","1","0","16","0","3","0","19","0.17","74",,"530","0.19","47.3","62.5","32.2"
"CHM00053772","TAIYUAN, CH","1951-05","21","21","11","5","0","0","0","27","0","33","0.25","90",,"126","1.20","61.6","76.6","46.6"
"CHM00053772","TAIYUAN, CH","1951-06","227","206","7","4","0","0","0","30","12","46","0.64","98",,"5","1.78","71.7","86.1","57.4"
"CHM00053772","TAIYUAN, CH","1951-07","494","267","11","8","0","0","0","30","8","45","0.61","94","5","5","3.00","73.5","85.7","61.2"
"CHM00053772","TAIYUAN, CH","1951-08","737","243","7","5","0","0","0","31","2","49","1.91","91","5","0","4.95","72.8","83.2","62.5"
"CHM00053772","TAIYUAN, CH","1951-09","739","1","10","6","0","1","0","21","0","31","0.46","79","207","202","1.77","58.3","70.9","45.7"
"CHM00053772","TAIYUAN, CH","1951-10","740","1","5","4","0","10","0","13","0","21","1.09","81","594","387","2.15","52.6","65.7","39.4"
"CHM00053772","TAIYUAN, CH","1951-11","740","0","5","2","0","24","1","0","0","5","0.16","63","1474","880","0.45","35.7","47.9","23.4"
"CHM00053772","TAIYUAN, CH","1951-12","740","0","3","0","1","31","3","0","0","-1","0.03","52","2686","1212","0.08","25.9","40.6","11.2"
"CHM00053772","TAIYUAN, CH","1952-01",,,"0","0","4","31",,,,"-4","0.00",,,,"0.00",,,"4.8"
"CHM00053772","TAIYUAN, CH","1952-02",,"0","6","0","5","29","12","0","0","-5","0.08","51",,"1268","0.27","21.3","34.7","7.8"
"CHM00053772","TAIYUAN, CH","1952-03",,"0","6","3","0","27","2","0","0","10","0.52","69",,"897","1.08","36.1","47.5","24.6"
"CHM00053772","TAIYUAN, CH","1952-04",,"0","9","3","0","7","0","10","0","25","0.78","84",,"391","1.57","52.0","66.1","37.8"
"CHM00053772","TAIYUAN, CH","1952-05",,"16","9","5","0","0","0","24","0","38","0.35","84",,"100","1.17","62.3","75.0","49.6"
"CHM00053772","TAIYUAN, CH","1952-06",,"164","5","4","0","0","0","29","6","45","1.40","92",,"4","2.07","70.3","85.3","55.3"
"CHM00053772","TAIYUAN, CH","1952-07",,"362","11","6","0","0","0","31","5","59","0.55","94","0","0","1.94","76.7","86.8","66.5"
"CHM00053772","TAIYUAN, CH","1952-08",,"123","12","8","0","0","0","29","0","45","0.87","87","5","5","3.66","68.9","80.5","57.4"
"CHM00053772","TAIYUAN, CH","1952-09",,"51","10","4","0","0","0","24","0","34","0.55","86","114","109","1.60","63.1","76.0","50.2"
