"STATION","NAME","DATE","CDSD","CLDD","DP01","DP10","DT00","DT32","DX32","DX70","DX90","EMNT","EMXP","EMXT","HDSD","HTDD","PRCP","TAVG","TMAX","TMIN"
"CHM00057083","ZHENGZHOU, CH","1951-01","0","0","3","0","0","31","12","0","0","6","0.07","57",,"1093","0.19","29.7","37.1","22.4"
"CHM00057083","ZHENGZHOU, CH","1951-02","0","0","10","4","0","21","4","0","0","13","0.23","61",,"856","0.80","34.4","40.4","28.4"
"CHM00057083","ZHENGZHOU, CH","1951-03","0","0","2","0","0","10","1","3","0","21","0.02","79",,"587","0.04","46.1","57.1","35.0"
"CHM00057083","ZHENGZHOU, CH","1951-04","1","1","7","2","0","0","0","12","0","38","0.30","80",,"239","0.61","57.1","68.6","45.5"
"CHM00057083","ZHENGZHOU, CH","1951-05","173","173","8","6","0","0","0","31","5","50","2.58","94",,"11","4.76","70.2","82.1","58.3"
"CHM00057083","ZHENGZHOU, CH","1951-06","584","410","5","3","0","0","0","28","22","59","1.17","104",,"0","2.09","78.7","90.9","66.5"
"CHM00057083","ZHENGZHOU, CH","1951-07","1025","441","10","6","0","0","0","30","15","62","2.00","100","0","0","3.67","79.2","88.2","70.3"
"CHM00057083","ZHENGZHOU, CH","1951-08","1519","494","8","5","0","0","0","31","21","58","3.20","98","0","0","4.56","80.9","90.2","71.7"
"CHM00057083","ZHENGZHOU, CH","1951-09","1704","186","4","3","0","0","0","30","1","48","0.41","92","2","2","0.78","71.1","81.9","60.4"
"CHM00057083","ZHENGZHOU, CH","1951-10","1769","65","4","2","0","0","0","21","2","39","0.34","91","135","132","0.60","62.8","74.2","51.4"
"CHM00057083","ZHENGZHOU, CH","1951-11","1769","0","5","3","0","9","0","2","0","22","0.47","76","662","527","1.14","47.4","57.5","37.3"
"CHM00057083","ZHENGZHOU, CH","1951-12","1769","0","2","1","0","21","1","0","0","23","0.17","69","1390","728","0.24","41.5","52.3","30.7"
"CHM00057083","ZHENGZHOU, CH","1952-01","0","0","0","0","0","31","0","0","0","20","0.00","63","2277","887","0.00","36.4","47.4","25.4"
"CHM00057083","ZHENGZHOU, CH","1952-02","0","0","4","1","0","27","6","0","0","15","0.15","64","3207","929","0.27","33.0","40.3","25.6"
"CHM00057083","ZHENGZHOU, CH","1952-03","0","0","7","5","0","5","0","2","0","29","1.09","75","3825","618","2.28","45.1","52.9","37.2"
"CHM00057083","ZHENGZHOU, CH","1952-04","36","36","4","4","0","0","0","19","1","40","0.85","91","3974","149","1.58","61.2","72.6","49.8"
"CHM00057083","ZHENGZHOU, CH","1952-05","196","160","8","4","0","0","0","28","4","51","0.24","95","3980","6","1.00","70.0","79.8","60.2"
"CHM00057083","ZHENGZHOU, CH","1952-06","676","479","4","4","0","0","0","30","21","61","1.22","105","3980","0","2.43","81.0","93.3","68.7"
"CHM00057083","ZHENGZHOU, CH","1952-07","1210","534","9","4","0","0","0","31","17","70","0.31","101","0","0","0.86","82.2","89.6","74.9"
"CHM00057083","ZHENGZHOU, CH","1952-08","1589","379","6","2","0","0","0","31","8","61","0.90","93","0","0","1.26","77.2","86.0","68.4"
"CHM00057083","ZHENGZHOU, CH","1952-09","1824","235","9","6","0","0","0","30","6","50","0.69","93","4","4","2.50","72.7","82.6","62.8"
"CHM00057083","ZHENGZHOU, CH","1952-10","1843","19","4","3","0","0","0","18","0","41","0.85","84","171","167","1.61","60.2","70.9","49.5"
"CHM00057083","ZHENGZHOU, CH","1952-11","1843","0","13","8","0","3","0","2","0","30","0.69","76","722","550","3.49","46.7","53.2","40.1"
"CHM00057083","ZHENGZHOU, CH","1952-12","1843","0","1","0","0","30","5","0","0","20","0.01","58","1713","991","0.01","33.0","40.9","25.2"
"CHM00057083","ZHENGZHOU, CH","1953-01","0","0","1","1","0","31","4","0","0","7","0.20","65","2743","1030","0.20","31.8","43.3","20.2"
"CHM00057083","ZHENGZHOU, CH","1953-02","0","0","3","2","0","25","2","0","0","17","0.17","68","3578","835","0.41","35.2","43.9","26.4"
"CHM00057083","ZHENGZHOU, CH","1953-03","0","0","5","5","0","8","0","5","0","22","1.16","81","4092","513","2.04","48.4","61.3","35.5"
"CHM00057083","ZHENGZHOU, CH","1953-04","21","21","2","2","0","1","0","18","0","23","0.20","90","4322","231","0.36","58.0","73.0","43.0"
"CHM00057083","ZHENGZHOU, CH","1953-05","196","175","5","4","0","0","0","29","8","39","0.78","100","4345","23","1.30","69.9","84.3","55.6"
"CHM00057083","ZHENGZHOU, CH","1953-06","639","443","5","3","0","0","0","30","26","55","3.94","101","4345","0","4.95","79.8","92.4","67.2"
"CHM00057083","ZHENGZHOU, CH","1953-07","1204","564","10","9","0","0","0","31","20","67","1.69","105","0","0","7.28","83.2","91.5","75.0"
"CHM00057083","ZHENGZHOU, CH","1953-08","1623","419","9","6","0","0","0","31","11","60","0.85","98","0","0","3.07","78.5","86.3","70.8"
"CHM00057083","ZHENGZHOU, CH","1953-09","1845","221","2","0","0","0","0","30","11","44","0.08","95","2","2","0.14","72.3","86.6","58.0"
"CHM00057083","ZHENGZHOU, CH","1953-10","1878","33","5","2","0","0","0","24","0","42","0.33","90","88","86","0.63","63.3","77.2","49.5"
"CHM00057083","ZHENGZHOU, CH","1953-11","1878","0","10","4","0","10","0","1","0","23","0.70","72","655","567","1.57","46.1","55.8","36.4"
"CHM00057083","ZHENGZHOU, CH","1953-12","1878","0","4","2","0","28","0","0","0","21","0.15","60","1556","901","0.30","35.9","45.9","25.9"
"CHM00057083","ZHENGZHOU, CH","1954-01","0","0","6","3","0","26","4","0","0","11","0.11","55","2546","990","0.48","33.1","40.3","25.9"
"CHM00057083","ZHENGZHOU, CH","1954-02","0","0","6","5","0","24","0","0","0","16","0.52","64","3314","768","1.51","37.6","46.9","28.3"
"CHM00057083","ZHENGZHOU, CH","1954-03","0","0","1","0","0","16","0","10","0","20","0.03","81","3889","575","0.03","46.5","59.4","33.5"
"CHM00057083","ZHENGZHOU, CH","1954-04","15","15","4","2","0","0","0","18","0","33","0.42","87","4044","155","0.91","60.3","72.9","47.8"
"CHM00057083","ZHENGZHOU, CH","1954-05","137","122","9","5","0","0","0","28","2","48","1.93","92","4062","18","3.98","68.3","79.3","57.4"
